Training on 18276 movies
18276
----------------------------- NEW MLP INIT -----------------------------
----------------------------------  batch1  -----------------------------------
-----------------------------------  -----------------------------------
-----------------------------------  -----------------------------------
Num learning steps: 3000
Learning rate: 0.05
Frequency of decreasing learning rate: 50
Glorot and Bengio Weights: true
Momentum influence: 0.0
Print status frequency: 10
Dropout OFF
Minibatch OFF
--------- WEIGHTS BEING INITIALIZED RANDOMLY ---------------
Hidden weights: 0.0736876126183612
Output weights: 0.38254602783800296
Lning rate: 0,040082 | Error derivative: 0,00810453 | Err: 0,05205213
Lning rate: 0,040082 | Error derivative: 0,00805867 | Err: 0,05199976
Lning rate: 0,040082 | Error derivative: 0,00801332 | Err: 0,05194798
Lning rate: 0,039681 | Error derivative: 0,00796887 | Err: 0,05189724
Lning rate: 0,039681 | Error derivative: 0,00792495 | Err: 0,05184711
Lning rate: 0,039681 | Error derivative: 0,00788152 | Err: 0,05179752
Lning rate: 0,039681 | Error derivative: 0,00783855 | Err: 0,05174848
Lning rate: 0,039681 | Error derivative: 0,00779604 | Err: 0,05169997
Lning rate: 0,039284 | Error derivative: 0,00775436 | Err: 0,05165241
Lning rate: 0,039284 | Error derivative: 0,00771317 | Err: 0,05160541
Lning rate: 0,039284 | Error derivative: 0,00767241 | Err: 0,05155890
Lning rate: 0,039284 | Error derivative: 0,00763208 | Err: 0,05151288
Lning rate: 0,039284 | Error derivative: 0,00759217 | Err: 0,05146734
Lning rate: 0,038891 | Error derivative: 0,00755303 | Err: 0,05142268
Lning rate: 0,038891 | Error derivative: 0,00751432 | Err: 0,05137853
Lning rate: 0,038891 | Error derivative: 0,00747601 | Err: 0,05133482
Lning rate: 0,038891 | Error derivative: 0,00743810 | Err: 0,05129156
Lning rate: 0,038891 | Error derivative: 0,00740056 | Err: 0,05124873
Lning rate: 0,038502 | Error derivative: 0,00736374 | Err: 0,05120671
Lning rate: 0,038502 | Error derivative: 0,00732731 | Err: 0,05116515
Lning rate: 0,038502 | Error derivative: 0,00729125 | Err: 0,05112400
Lning rate: 0,038502 | Error derivative: 0,00725554 | Err: 0,05108326
Lning rate: 0,038502 | Error derivative: 0,00722019 | Err: 0,05104291
Lning rate: 0,038117 | Error derivative: 0,00718549 | Err: 0,05100331
Lning rate: 0,038117 | Error derivative: 0,00715116 | Err: 0,05096412
Lning rate: 0,038117 | Error derivative: 0,00711716 | Err: 0,05092531
Lning rate: 0,038117 | Error derivative: 0,00708349 | Err: 0,05088687
Lning rate: 0,038117 | Error derivative: 0,00705013 | Err: 0,05084879
Lning rate: 0,037736 | Error derivative: 0,00701739 | Err: 0,05081141
Lning rate: 0,037736 | Error derivative: 0,00698499 | Err: 0,05077441
Lning rate: 0,037736 | Error derivative: 0,00695289 | Err: 0,05073774
Lning rate: 0,037736 | Error derivative: 0,00692108 | Err: 0,05070142
Lning rate: 0,037736 | Error derivative: 0,00688957 | Err: 0,05066542
Lning rate: 0,037359 | Error derivative: 0,00685863 | Err: 0,05063007
Lning rate: 0,037359 | Error derivative: 0,00682800 | Err: 0,05059507
Lning rate: 0,037359 | Error derivative: 0,00679765 | Err: 0,05056039
Lning rate: 0,037359 | Error derivative: 0,00676757 | Err: 0,05052601
Lning rate: 0,037359 | Error derivative: 0,00673777 | Err: 0,05049193
Lning rate: 0,036985 | Error derivative: 0,00670849 | Err: 0,05045845
Lning rate: 0,036985 | Error derivative: 0,00667950 | Err: 0,05042530
Lning rate: 0,036985 | Error derivative: 0,00665076 | Err: 0,05039243
Lning rate: 0,036985 | Error derivative: 0,00662228 | Err: 0,05035985
Lning rate: 0,036985 | Error derivative: 0,00659404 | Err: 0,05032754
Lning rate: 0,036615 | Error derivative: 0,00656630 | Err: 0,05029579
Lning rate: 0,036615 | Error derivative: 0,00653883 | Err: 0,05026434
Lning rate: 0,036615 | Error derivative: 0,00651159 | Err: 0,05023316
Lning rate: 0,036615 | Error derivative: 0,00648458 | Err: 0,05020223
Lning rate: 0,036615 | Error derivative: 0,00645780 | Err: 0,05017156
Lning rate: 0,036249 | Error derivative: 0,00643149 | Err: 0,05014141
Lning rate: 0,036249 | Error derivative: 0,00640542 | Err: 0,05011154
Lning rate: 0,036249 | Error derivative: 0,00637956 | Err: 0,05008191
Lning rate: 0,036249 | Error derivative: 0,00635392 | Err: 0,05005251
Lning rate: 0,036249 | Error derivative: 0,00632849 | Err: 0,05002335
Lning rate: 0,035887 | Error derivative: 0,00630350 | Err: 0,04999469
Lning rate: 0,035887 | Error derivative: 0,00627873 | Err: 0,04996628
Lning rate: 0,035887 | Error derivative: 0,00625416 | Err: 0,04993809
Lning rate: 0,035887 | Error derivative: 0,00622979 | Err: 0,04991012
Lning rate: 0,035887 | Error derivative: 0,00620562 | Err: 0,04988236
Lning rate: 0,035528 | Error derivative: 0,00618185 | Err: 0,04985507
Lning rate: 0,035528 | Error derivative: 0,00615830 | Err: 0,04982802
Lning rate: 0,035528 | Error derivative: 0,00613493 | Err: 0,04980117
Lning rate: 0,035528 | Error derivative: 0,00611174 | Err: 0,04977452
Lning rate: 0,035528 | Error derivative: 0,00608873 | Err: 0,04974807
Lning rate: 0,035172 | Error derivative: 0,00606611 | Err: 0,04972206
Lning rate: 0,035172 | Error derivative: 0,00604368 | Err: 0,04969627
Lning rate: 0,035172 | Error derivative: 0,00602142 | Err: 0,04967066
Lning rate: 0,035172 | Error derivative: 0,00599933 | Err: 0,04964525
Lning rate: 0,035172 | Error derivative: 0,00597741 | Err: 0,04962002
Lning rate: 0,034821 | Error derivative: 0,00595586 | Err: 0,04959519
Lning rate: 0,034821 | Error derivative: 0,00593448 | Err: 0,04957057
Lning rate: 0,034821 | Error derivative: 0,00591326 | Err: 0,04954613
Lning rate: 0,034821 | Error derivative: 0,00589220 | Err: 0,04952186
